,natural_language,parsed_utterance
0,"yeah, show me",followup [e]
1,explain the model's predictions on the data,explain features [e]
2,"what if, for instance 1515, we added 1929.025 to past electricity and viewed the class probabilities?",filter id 1515 and change past_electricity increase 1929.025 and likelihood [e]
3,"what if, for instance 1515, we added 21.5 to outdoor temperature and viewed the class probabilities?",filter id 1515 and change outdoor_temperature increase 21.5 and likelihood [e]
4,"what if, for instance 1515, we added 13.25 to indoor temperature and viewed the class probabilities?",filter id 1515 and change indoor_temperature increase 13.25 and likelihood [e]
5,"what if, for instance 1515, we added 640.4 to past electricity and viewed the class probabilities?",filter id 1515 and change past_electricity increase 640.4 and likelihood [e]
6,"what if, for instance 1515, we added 15.25 to indoor temperature and viewed the class probabilities?",filter id 1515 and change indoor_temperature increase 15.25 and likelihood [e]
7,"what if, for instance 1515, we added 21.82399577 to outdoor temperature and viewed the class probabilities?",filter id 1515 and change outdoor_temperature increase 21.82399577 and likelihood [e]
8,how about indoor temperature less than 15.25,filter indoor_temperature less than 15.25 and previousoperation [e]
9,how about {class_names} is what the individuals outcome under the model is,predictionfilter {non_semantic_class_names} and previousoperation [e]
10,how about outdoor temperature is not less than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and previousoperation [e]
11,how about data points 89 and 90,filter id 89 and filter id 90 and previousoperation [e]
12,how about indoor temperature taller than 15.25,filter indoor_temperature greater than 15.25 and previousoperation [e]
13,how about indoor temperature older than 15.25 and past electricity younger than 640.4,filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and previousoperation [e]
14,how about outdoor temperature exceeds 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
15,how about past electricity exceeds 1929.025,filter past_electricity greater than 1929.025 and previousoperation [e]
16,how about outdoor temperature upper than 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
17,how about outdoor temperature is not less than 21.5,filter outdoor_temperature greater equal than 21.5 and previousoperation [e]
18,how about past electricity is not less than 1929.025,filter past_electricity greater equal than 1929.025 and previousoperation [e]
19,how about indoor temperature older than 15.25 and outdoor temperature younger than 21.5,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and previousoperation [e]
20,how about everything but not indoor temperature of 13.25,filter indoor_temperature not equal to 13.25 and previousoperation [e]
21,how about outdoor temperature not equal to 21.82399577,filter outdoor_temperature not equal to 21.82399577 and previousoperation [e]
22,how about indoor temperature the same or more than 13.25,filter indoor_temperature greater equal than 13.25 and previousoperation [e]
23,how about outdoor temperature older than 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
24,how about past electricity of 1929.025,filter past_electricity equal to 1929.025 and previousoperation [e]
25,how about indoor temperature above 15.25,filter indoor_temperature greater than 15.25 and previousoperation [e]
26,how about indoor temperature of 13.25,filter indoor_temperature equal to 13.25 and previousoperation [e]
27,how about indoor temperature the same or more than 15.25,filter indoor_temperature greater equal than 15.25 and previousoperation [e]
28,how about past electricity exceeds 640.4,filter past_electricity greater than 640.4 and previousoperation [e]
29,how about outdoor temperature above 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
30,how about id 61,filter id 61 and previousoperation [e]
31,how about past electricity older than 1929.025 and indoor temperature younger than 15.25,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and previousoperation [e]
32,how about outdoor temperature is equal to but not greater than 21.5,filter outdoor_temperature less equal than 21.5 and previousoperation [e]
33,how about indoor temperature exceeds 15.25,filter indoor_temperature greater than 15.25 and previousoperation [e]
34,how about outdoor temperature more than 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
35,how about past electricity less than 640.4,filter past_electricity less than 640.4 and previousoperation [e]
36,how about indoor temperature equal to or below 15.25,filter indoor_temperature less equal than 15.25 and previousoperation [e]
37,how about indoor temperature less than 13.25,filter indoor_temperature less than 13.25 and previousoperation [e]
38,how about everything but not outdoor temperature of 21.5,filter outdoor_temperature not equal to 21.5 and previousoperation [e]
39,how about where they are actually {class_names} but the model predicts {class_names},labelfilter {non_semantic_class_names} and predictionfilter {non_semantic_class_names} and previousoperation [e]
40,how about the model's prediction is {class_names},predictionfilter {non_semantic_class_names} and previousoperation [e]
41,how about past electricity older than 640.4 and indoor temperature younger than 15.25,filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and previousoperation [e]
42,how about outdoor temperature of 21.82399577,filter outdoor_temperature equal to 21.82399577 and previousoperation [e]
43,how about outdoor temperature older than 21.82399577 and past electricity younger than 1929.025,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and previousoperation [e]
44,how about past electricity above 640.4,filter past_electricity greater than 640.4 and previousoperation [e]
45,how about past electricity is equal to but not greater than 1929.025,filter past_electricity less equal than 1929.025 and previousoperation [e]
46,how about indoor temperature not equal to 15.25,filter indoor_temperature not equal to 15.25 and previousoperation [e]
47,how about outdoor temperature older than 21.5 and indoor temperature younger than 13.25,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and previousoperation [e]
48,how about indoor temperature of 15.25,filter indoor_temperature equal to 15.25 and previousoperation [e]
49,how about outdoor temperature older than 21.5,filter outdoor_temperature greater than 21.5 and previousoperation [e]
50,how about outdoor temperature exceeds 21.5,filter outdoor_temperature greater than 21.5 and previousoperation [e]
51,how about past electricity more than 1929.025,filter past_electricity greater than 1929.025 and previousoperation [e]
52,how about outdoor temperature not equal to 21.5,filter outdoor_temperature not equal to 21.5 and previousoperation [e]
53,how about everything but not outdoor temperature of 21.82399577,filter outdoor_temperature not equal to 21.82399577 and previousoperation [e]
54,how about indoor temperature is not greater than 13.25,filter indoor_temperature less equal than 13.25 and previousoperation [e]
55,how about outdoor temperature more than 21.5,filter outdoor_temperature greater than 21.5 and previousoperation [e]
56,how about outdoor temperature the same or more than 21.5,filter outdoor_temperature greater equal than 21.5 and previousoperation [e]
57,how about past electricity is not greater than 640.4,filter past_electricity less equal than 640.4 and previousoperation [e]
58,how about indoor temperature is not less than 13.25,filter indoor_temperature greater equal than 13.25 and previousoperation [e]
59,how about past electricity taller than 640.4,filter past_electricity greater than 640.4 and previousoperation [e]
60,how about outdoor temperature is not greater than 21.5,filter outdoor_temperature less equal than 21.5 and previousoperation [e]
61,how about indoor temperature older than 13.25 and past electricity younger than 640.4,filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and previousoperation [e]
62,how about indoor temperature exceeds 13.25,filter indoor_temperature greater than 13.25 and previousoperation [e]
63,how about indoor temperature upper than 15.25,filter indoor_temperature greater than 15.25 and previousoperation [e]
64,how about indoor temperature is equal to but not greater than 13.25,filter indoor_temperature less equal than 13.25 and previousoperation [e]
65,how about everything but not past electricity of 1929.025,filter past_electricity not equal to 1929.025 and previousoperation [e]
66,how about the model predicts {class_names} but actually are {class_names},predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and previousoperation [e]
67,how about past electricity younger than 640.4,filter past_electricity less than 640.4 and previousoperation [e]
68,how about the model predicts {class_names} but whose ground truth label is {class_names},predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and previousoperation [e]
69,how about past electricity older than 1929.025 and outdoor temperature younger than 21.82399577,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and previousoperation [e]
70,how about indoor temperature older than 13.25 and outdoor temperature younger than 21.5,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and previousoperation [e]
71,how about past electricity not equal to 1929.025,filter past_electricity not equal to 1929.025 and previousoperation [e]
72,how about past electricity not equal to 640.4,filter past_electricity not equal to 640.4 and previousoperation [e]
73,how about past electricity of 640.4,filter past_electricity equal to 640.4 and previousoperation [e]
74,how about outdoor temperature the same or more than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and previousoperation [e]
75,how about outdoor temperature taller than 21.5,filter outdoor_temperature greater than 21.5 and previousoperation [e]
76,how about indoor temperature is equal to but not greater than 15.25,filter indoor_temperature less equal than 15.25 and previousoperation [e]
77,how about outdoor temperature older than 21.5 and past electricity younger than 1929.025,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and previousoperation [e]
78,how about outdoor temperature equal to or below 21.82399577,filter outdoor_temperature less equal than 21.82399577 and previousoperation [e]
