,natural_language,parsed_utterance
0,how many data points are in this group?,previousfilter and countdata [e]
1,tell me how many ids in the data have indoor temperature less than 15.25,filter indoor_temperature less than 15.25 and countdata [e]
2,tell me how many ids in the data have past electricity not equal to 640.4,filter past_electricity not equal to 640.4 and countdata [e]
3,tell me how many ids in the data have outdoor temperature upper than 21.5,filter outdoor_temperature greater than 21.5 and countdata [e]
4,tell me how many ids in the data have outdoor temperature is not less than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and countdata [e]
5,tell me how many ids in the data have outdoor temperature is equal to but not greater than 21.5,filter outdoor_temperature less equal than 21.5 and countdata [e]
6,tell me how many ids in the data have everything but not indoor temperature of 13.25,filter indoor_temperature not equal to 13.25 and countdata [e]
7,tell me how many ids in the data have past electricity warmer than 640.4 and outdoor temperature colder than 21.5,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and countdata [e]
8,tell me how many ids in the data have past electricity not equal to 1929.025,filter past_electricity not equal to 1929.025 and countdata [e]
9,tell me how many ids in the data have past electricity colder than 640.4,filter past_electricity less than 640.4 and countdata [e]
10,tell me how many ids in the data have indoor temperature upper than 13.25,filter indoor_temperature greater than 13.25 and countdata [e]
11,tell me how many ids in the data have outdoor temperature exceeds 21.82399577,filter outdoor_temperature greater than 21.82399577 and countdata [e]
12,tell me how many ids in the data have past electricity above 1929.025,filter past_electricity greater than 1929.025 and countdata [e]
13,tell me how many ids in the data have outdoor temperature is not greater than 21.82399577,filter outdoor_temperature less equal than 21.82399577 and countdata [e]
14,tell me how many ids in the data have outdoor temperature less than 21.5,filter outdoor_temperature less than 21.5 and countdata [e]
15,tell me how many ids in the data have outdoor temperature warmer than 21.82399577 and indoor temperature colder than 15.25,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and countdata [e]
16,tell me how many ids in the data have indoor temperature warmer than 15.25 and outdoor temperature colder than 21.5,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and countdata [e]
17,tell me how many ids in the data have past electricity more than 1929.025,filter past_electricity greater than 1929.025 and countdata [e]
18,tell me how many ids in the data have indoor temperature warmer than 13.25 and past electricity colder than 1929.025,filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and countdata [e]
19,tell me how many ids in the data have outdoor temperature not equal to 21.5,filter outdoor_temperature not equal to 21.5 and countdata [e]
20,tell me how many ids in the data have indoor temperature warmer than 13.25 and past electricity colder than 640.4,filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and countdata [e]
21,tell me how many ids in the data have past electricity equal to or below 1929.025,filter past_electricity less equal than 1929.025 and countdata [e]
22,tell me how many ids in the data have outdoor temperature more than 21.5,filter outdoor_temperature greater than 21.5 and countdata [e]
23,tell me how many ids in the data have past electricity warmer than 1929.025 and indoor temperature colder than 13.25,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and countdata [e]
24,tell me how many ids in the data have indoor temperature is not less than 15.25,filter indoor_temperature greater equal than 15.25 and countdata [e]
25,tell me how many ids in the data have past electricity exceeds 640.4,filter past_electricity greater than 640.4 and countdata [e]
26,tell me how many ids in the data have past electricity upper than 640.4,filter past_electricity greater than 640.4 and countdata [e]
27,tell me how many ids in the data have outdoor temperature warmer than 21.82399577 and indoor temperature colder than 13.25,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and countdata [e]
28,tell me how many ids in the data have indoor temperature colder than 15.25,filter indoor_temperature less than 15.25 and countdata [e]
29,tell me how many ids in the data have indoor temperature equal to or below 13.25,filter indoor_temperature less equal than 13.25 and countdata [e]
30,tell me how many ids in the data have outdoor temperature warmer than 21.82399577,filter outdoor_temperature greater than 21.82399577 and countdata [e]
31,tell me how many ids in the data have indoor temperature warmer than 13.25 and outdoor temperature colder than 21.5,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and countdata [e]
32,tell me how many ids in the data have indoor temperature is equal to but not greater than 13.25,filter indoor_temperature less equal than 13.25 and countdata [e]
33,tell me how many ids in the data have past electricity warmer than 640.4 and outdoor temperature colder than 21.82399577,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and countdata [e]
34,tell me how many ids in the data have outdoor temperature of 21.82399577,filter outdoor_temperature equal to 21.82399577 and countdata [e]
35,tell me how many ids in the data have past electricity less than 1929.025,filter past_electricity less than 1929.025 and countdata [e]
36,tell me how many ids in the data have outdoor temperature warmer than 21.5 and past electricity colder than 1929.025,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and countdata [e]
37,tell me how many ids in the data have indoor temperature the same or more than 13.25,filter indoor_temperature greater equal than 13.25 and countdata [e]
38,tell me how many ids in the data have past electricity is not less than 1929.025,filter past_electricity greater equal than 1929.025 and countdata [e]
39,tell me how many ids in the data have outdoor temperature warmer than 21.82399577 and past electricity colder than 1929.025,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and countdata [e]
40,tell me how many ids in the data have indoor temperature warmer than 15.25 and past electricity colder than 640.4,filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and countdata [e]
41,tell me how many ids in the data have indoor temperature exceeds 15.25,filter indoor_temperature greater than 15.25 and countdata [e]
42,tell me how many ids in the data have past electricity warmer than 640.4 and indoor temperature colder than 13.25,filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and countdata [e]
43,tell me how many ids in the data have past electricity is not greater than 640.4,filter past_electricity less equal than 640.4 and countdata [e]
44,tell me how many ids in the data have indoor temperature warmer than 15.25 and outdoor temperature colder than 21.82399577,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and countdata [e]
45,tell me how many ids in the data have outdoor temperature the same or more than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and countdata [e]
46,tell me how many ids in the data have indoor temperature of 15.25,filter indoor_temperature equal to 15.25 and countdata [e]
47,tell me how many ids in the data have indoor temperature colder than 13.25,filter indoor_temperature less than 13.25 and countdata [e]
48,tell me how many ids in the data have outdoor temperature exceeds 21.5,filter outdoor_temperature greater than 21.5 and countdata [e]
49,tell me how many ids in the data have indoor temperature above 15.25,filter indoor_temperature greater than 15.25 and countdata [e]
50,tell me how many ids in the data have past electricity exceeds 1929.025,filter past_electricity greater than 1929.025 and countdata [e]
51,tell me how many ids in the data have past electricity the same or more than 1929.025,filter past_electricity greater equal than 1929.025 and countdata [e]
52,tell me how many ids in the data have outdoor temperature warmer than 21.5 and past electricity colder than 640.4,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and countdata [e]
53,tell me how many ids in the data have past electricity the same or more than 640.4,filter past_electricity greater equal than 640.4 and countdata [e]
54,tell me how many ids in the data have indoor temperature warmer than 13.25 and outdoor temperature colder than 21.82399577,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and countdata [e]
55,tell me how many ids in the data have outdoor temperature of 21.5,filter outdoor_temperature equal to 21.5 and countdata [e]
56,tell me how many ids in the data have past electricity equal to or below 640.4,filter past_electricity less equal than 640.4 and countdata [e]
57,tell me how many ids in the data have past electricity more than 640.4,filter past_electricity greater than 640.4 and countdata [e]
58,tell me how many ids in the data have outdoor temperature is not greater than 21.5,filter outdoor_temperature less equal than 21.5 and countdata [e]
59,tell me how many ids in the data have everything but not past electricity of 1929.025,filter past_electricity not equal to 1929.025 and countdata [e]
60,tell me how many ids in the data have outdoor temperature colder than 21.5,filter outdoor_temperature less than 21.5 and countdata [e]
61,tell me how many ids in the data have indoor temperature warmer than 15.25,filter indoor_temperature greater than 15.25 and countdata [e]
62,tell me how many ids in the data have indoor temperature of 13.25,filter indoor_temperature equal to 13.25 and countdata [e]
63,tell me how many ids in the data have outdoor temperature warmer than 21.5 and indoor temperature colder than 13.25,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and countdata [e]
64,tell me how many ids in the data have outdoor temperature warmer than 21.5,filter outdoor_temperature greater than 21.5 and countdata [e]
65,tell me how many ids in the data have outdoor temperature is equal to but not greater than 21.82399577,filter outdoor_temperature less equal than 21.82399577 and countdata [e]
66,tell me how many ids in the data have indoor temperature warmer than 15.25 and past electricity colder than 1929.025,filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and countdata [e]
67,tell me how many ids in the data have outdoor temperature equal to or below 21.82399577,filter outdoor_temperature less equal than 21.82399577 and countdata [e]
68,tell me how many ids in the data have everything but not indoor temperature of 15.25,filter indoor_temperature not equal to 15.25 and countdata [e]
69,tell me how many ids in the data have outdoor temperature above 21.82399577,filter outdoor_temperature greater than 21.82399577 and countdata [e]
70,tell me how many ids in the data have past electricity of 1929.025,filter past_electricity equal to 1929.025 and countdata [e]
71,tell me how many ids in the data have everything but not past electricity of 640.4,filter past_electricity not equal to 640.4 and countdata [e]
72,tell me how many ids in the data have past electricity upper than 1929.025,filter past_electricity greater than 1929.025 and countdata [e]
73,tell me how many ids in the data have indoor temperature less than 13.25,filter indoor_temperature less than 13.25 and countdata [e]
74,tell me how many ids in the data have outdoor temperature is not less than 21.5,filter outdoor_temperature greater equal than 21.5 and countdata [e]
75,tell me how many ids in the data have past electricity less than 640.4,filter past_electricity less than 640.4 and countdata [e]
76,tell me how many ids in the data have indoor temperature more than 13.25,filter indoor_temperature greater than 13.25 and countdata [e]
77,tell me how many ids in the data have id 61,filter id 61 and countdata [e]
78,tell me how many ids in the data have indoor temperature the same or more than 15.25,filter indoor_temperature greater equal than 15.25 and countdata [e]
79,tell me how many ids in the data have outdoor temperature more than 21.82399577,filter outdoor_temperature greater than 21.82399577 and countdata [e]
80,tell me how many ids in the data have indoor temperature not equal to 13.25,filter indoor_temperature not equal to 13.25 and countdata [e]
81,tell me how many ids in the data have outdoor temperature colder than 21.82399577,filter outdoor_temperature less than 21.82399577 and countdata [e]
82,tell me how many ids in the data have everything but not outdoor temperature of 21.5,filter outdoor_temperature not equal to 21.5 and countdata [e]
83,tell me how many ids in the data have past electricity is not less than 640.4,filter past_electricity greater equal than 640.4 and countdata [e]
84,tell me how many ids in the data have outdoor temperature equal to or below 21.5,filter outdoor_temperature less equal than 21.5 and countdata [e]
85,tell me how many ids in the data have indoor temperature is not greater than 15.25,filter indoor_temperature less equal than 15.25 and countdata [e]
86,tell me how many ids in the data have past electricity of 640.4,filter past_electricity equal to 640.4 and countdata [e]
87,tell me how many ids in the data have past electricity colder than 1929.025,filter past_electricity less than 1929.025 and countdata [e]
88,tell me how many ids in the data have data points 89 and 90,filter id 89 and filter id 90 and countdata [e]
89,tell me how many ids in the data have indoor temperature equal to or below 15.25,filter indoor_temperature less equal than 15.25 and countdata [e]
90,tell me how many ids in the data have indoor temperature not equal to 15.25,filter indoor_temperature not equal to 15.25 and countdata [e]
91,tell me how many ids in the data have past electricity warmer than 1929.025 and outdoor temperature colder than 21.82399577,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and countdata [e]
92,tell me how many ids in the data have outdoor temperature warmer than 21.5 and indoor temperature colder than 15.25,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and countdata [e]
93,tell me how many ids in the data have past electricity is equal to but not greater than 640.4,filter past_electricity less equal than 640.4 and countdata [e]
94,tell me how many ids in the data have outdoor temperature the same or more than 21.5,filter outdoor_temperature greater equal than 21.5 and countdata [e]
95,tell me how many ids in the data have indoor temperature upper than 15.25,filter indoor_temperature greater than 15.25 and countdata [e]
96,tell me how many ids in the data have everything but not outdoor temperature of 21.82399577,filter outdoor_temperature not equal to 21.82399577 and countdata [e]
97,tell me how many ids in the data have past electricity is equal to but not greater than 1929.025,filter past_electricity less equal than 1929.025 and countdata [e]
98,tell me how many ids in the data have indoor temperature is not greater than 13.25,filter indoor_temperature less equal than 13.25 and countdata [e]
99,tell me how many ids in the data have past electricity warmer than 640.4 and indoor temperature colder than 15.25,filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and countdata [e]
100,tell me how many ids in the data have indoor temperature more than 15.25,filter indoor_temperature greater than 15.25 and countdata [e]
101,tell me how many ids in the data have past electricity is not greater than 1929.025,filter past_electricity less equal than 1929.025 and countdata [e]
102,tell me how many ids in the data have past electricity warmer than 1929.025 and outdoor temperature colder than 21.5,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and countdata [e]
103,tell me how many ids in the data have outdoor temperature less than 21.82399577,filter outdoor_temperature less than 21.82399577 and countdata [e]
104,tell me how many ids in the data have outdoor temperature upper than 21.82399577,filter outdoor_temperature greater than 21.82399577 and countdata [e]
105,tell me how many ids in the data have id 78,filter id 78 and countdata [e]
106,tell me how many ids in the data have indoor temperature is equal to but not greater than 15.25,filter indoor_temperature less equal than 15.25 and countdata [e]
107,tell me how many ids in the data have past electricity above 640.4,filter past_electricity greater than 640.4 and countdata [e]
108,tell me how many ids in the data have indoor temperature is not less than 13.25,filter indoor_temperature greater equal than 13.25 and countdata [e]
109,tell me how many ids in the data have past electricity warmer than 640.4,filter past_electricity greater than 640.4 and countdata [e]
110,tell me how many ids in the data have indoor temperature exceeds 13.25,filter indoor_temperature greater than 13.25 and countdata [e]
111,tell me how many ids in the data have outdoor temperature above 21.5,filter outdoor_temperature greater than 21.5 and countdata [e]
112,tell me how many ids in the data have outdoor temperature warmer than 21.82399577 and past electricity colder than 640.4,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and countdata [e]
113,tell me how many ids in the data have indoor temperature above 13.25,filter indoor_temperature greater than 13.25 and countdata [e]
114,tell me how many ids in the data have past electricity warmer than 1929.025 and indoor temperature colder than 15.25,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and countdata [e]
115,tell me how many ids in the data have outdoor temperature not equal to 21.82399577,filter outdoor_temperature not equal to 21.82399577 and countdata [e]
116,tell me how many ids in the data have past electricity warmer than 1929.025,filter past_electricity greater than 1929.025 and countdata [e]
117,tell me how many ids in the data have indoor temperature warmer than 13.25,filter indoor_temperature greater than 13.25 and countdata [e]
118,what if these people had 21.82399577 more outdoor temperature,previousfilter and change outdoor_temperature increase 21.82399577 and previousoperation [e]
